,02-Sep-2026
The Nifty witnessed an intraday movement of about 127.65 points.The closing index was 0.59 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 115184.52
, Traded Quantity (in Lakhs), 49579.15
, Number of Trades, 38764448
, Total Market Capitalisation (Rs. Crores), 48624627.50

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24055.80,     23858.00,     23914.45,     23786.80,     23914.45,-141.35
,NIFTY50 EQL Wgt,     32834.80,     32594.15,     32664.15,     32440.85,     32664.15,-170.65
,NIFTY100 EQL Wgt,     34720.35,     34463.30,     34637.60,     34252.75,     34637.60,-82.75
,NIFTY100 LowVol30,     20153.35,     19985.80,     20033.80,     19911.45,     20033.80,-119.55
,NIFTY Alpha 50,     56678.40,     56373.65,     56489.75,     55945.00,     56455.85,-222.55
,NIFTY MIDCAP 150,     23252.70,     23139.05,     23140.00,     22935.35,     23114.75,-137.95
,NIFTY SMLCAP 50,      9909.05,      9865.20,      9874.10,      9794.80,      9865.80,-43.25
,NIFTY SMLCAP 250,     18363.10,     18288.50,     18293.30,     18153.60,     18256.30,-106.80
,NIFTY MIDSML 400,     21481.95,     21383.05,     21383.45,     21205.50,     21355.35,-126.60
,NIFTY200 QUALTY30,     20544.20,     20397.30,     20405.65,     20213.80,     20401.10,-143.10
,Nifty FinSrv25 50,     28159.30,     27906.25,     27973.45,     27779.75,     27956.55,-202.75
,NIFTY AlphaLowVol,     26939.50,     26760.50,     26821.10,     26606.70,     26821.10,-118.40
,Nifty200Momentm30,     30756.10,     30559.55,     30711.40,     30313.30,     30711.40,-44.70
,Nifty100ESGSecLdr,      4021.70,      3986.90,      4003.15,      3970.35,      4003.15,-18.55
,NIFTY100 ESG,      4994.55,      4952.60,      4967.55,      4924.90,      4967.55,-27.00
,NIFTY M150 QLTY50,     24514.15,     24383.75,     24388.80,     24102.65,     24238.20,-275.95
,NIFTY INDIA MFG,     16402.50,     16277.75,     16287.30,     16128.25,     16269.35,-133.15
,Nifty200 Alpha 30,     26633.55,     26476.55,     26615.45,     26240.05,     26615.45,-18.10
,NiftyM150Momntm50,     63949.90,     63666.95,     63690.90,     63148.15,     63680.10,-269.80
,Nifty50 USD,      8778.80,      8778.75,      8778.75,      8671.30,      8726.05,-52.75
,Nifty IT,     31496.70,     31164.30,     31241.15,     30668.10,     31102.90,-393.80
,Nifty Next 50,     72874.75,     72319.00,     72947.45,     71821.60,     72947.45,72.70
,Nifty Bank,     57409.60,     57006.45,     57221.10,     56823.20,     57172.00,-237.60
,NIFTY MIDCAP 100,     63334.50,     62988.85,     63007.25,     62445.15,     63001.60,-332.90
,Nifty 500,     23339.90,     23176.95,     23226.20,     23058.30,     23222.80,-117.10
,Nifty 100,     25157.40,     24953.35,     25041.65,     24861.15,     25041.65,-115.75
,Nifty Midcap 50,     18248.80,     18136.70,     18138.30,     17966.55,     18120.20,-128.60
,Nifty Realty,       891.30,       883.75,       894.25,       868.20,       893.15,1.85
,Nifty Infra,      9209.25,      9150.90,      9212.35,      9113.65,      9212.05,2.80
,Nifty Energy,     37806.10,     37706.20,     38034.95,     37504.70,     38028.40,222.30
,Nifty FMCG,     46457.15,     46186.90,     46294.10,     45880.65,     46240.55,-216.60
,Nifty MNC,     32513.70,     32291.85,     32301.75,     31945.50,     32246.60,-267.10
,Nifty Pharma,     26792.65,     26668.50,     26818.50,     26611.75,     26780.70,-11.95
,Nifty PSE,      9659.50,      9616.85,      9696.15,      9564.35,      9695.95,36.45
,Nifty PSU Bank,      8505.75,      8457.20,      8558.85,      8419.30,      8511.70,5.95
,Nifty Serv Sector,     30756.60,     30482.15,     30528.40,     30391.05,     30525.25,-231.35
,Nifty Auto,     28491.05,     28183.20,     28225.55,     27541.65,     27981.95,-509.10
,Nifty Metal,     13189.85,     13105.30,     13160.15,     13030.00,     13157.35,-32.50
,Nifty Media,      1561.45,      1554.10,      1556.20,      1530.00,      1534.10,-27.35
,NIFTY SMLCAP 100,     19886.25,     19803.40,     19833.20,     19662.15,     19812.25,-74.00
,Nifty 200,     13979.40,     13873.55,     13913.25,     13808.95,     13913.25,-66.15
,Nifty Div Opps 50,      5859.25,      5816.55,      5830.65,      5768.60,      5830.50,-28.75
,Nifty Commodities,      9704.20,      9647.00,      9756.90,      9601.80,      9756.90,52.70
,Nifty Consumption,     11782.30,     11679.30,     11703.60,     11584.85,     11703.60,-78.70
,Nifty Fin Service,     26003.90,     25777.20,     25842.40,     25670.85,     25813.05,-190.85
,Nifty50 Div Point,       189.56,       193.19,       193.19,       193.19,       193.19,3.63
,Nifty100 Liq 15,      7551.50,      7491.20,      7517.60,      7459.60,      7517.60,-33.90
,Nifty CPSE,      6387.00,      6378.20,      6432.35,      6350.80,      6429.80,42.80
,Nifty GrowSect 15,     11541.30,     11414.75,     11440.65,     11334.45,     11435.75,-105.55
,Nifty50 PR 2x Lev,     11858.95,     11662.35,     11718.00,     11593.35,     11718.00,-140.95
,Nifty50 PR 1x Inv,       221.25,       223.10,       223.75,       222.60,       222.60,1.35
,Nifty50 TR 2x Lev,     18069.55,     17775.45,     17860.20,     17670.30,     17860.20,-209.35
,Nifty50 TR 1x Inv,       179.55,       181.00,       181.55,       180.60,       180.60,1.05
,Nifty50 Value 20,     11864.00,     11772.50,     11834.60,     11737.45,     11811.20,-52.80
,Nifty Mid Liq 15,     17365.85,     17237.75,     17244.35,     16995.70,     17146.00,-219.85
,Nifty Pvt Bank,     27762.10,     27555.50,     27639.20,     27501.15,     27606.80,-155.30
,NIFTY100 Qualty30,      5696.05,      5651.25,      5656.65,      5606.55,      5656.65,-39.40
,Nifty GS 8 13Yr,      3040.76,      3041.32,      3041.33,      3034.06,      3036.32,-4.44
,Nifty GS 10Yr,      2660.72,      2661.23,      2661.23,      2654.48,      2657.48,-3.24
,Nifty GS 10Yr Cln,       867.56,       867.56,       867.56,       865.31,       866.31,-1.25
,Nifty GS 4 8Yr,      3332.35,      3332.95,      3333.68,      3329.56,      3333.20,0.85
,Nifty GS 11 15Yr,      3371.98,      3372.62,      3372.64,      3362.96,      3367.18,-4.80
,Nifty GS 15YrPlus,      3539.87,      3540.60,      3540.60,      3525.26,      3528.07,-11.80
,Nifty GS Compsite,      3131.78,      3132.38,      3132.38,      3125.33,      3127.62,-4.16
,NIFTY HEALTHCARE,     16669.85,     16580.95,     16661.35,     16547.50,     16629.10,-40.75
,NIFTY CONSR DURBL,     39864.90,     39562.70,     39768.55,     39192.50,     39741.65,-123.25
,NIFTY OIL AND GAS,     11142.30,     11080.65,     11182.45,     11025.60,     11178.85,36.55
,NIFTY500 MULTICAP,     16593.35,     16489.30,     16511.65,     16393.15,     16506.35,-87.00
,NIFTY LARGEMID250,     16729.70,     16621.30,     16642.75,     16518.00,     16641.45,-88.25
,NIFTY MID SELECT,     14813.35,     14715.45,     14719.95,     14551.90,     14663.65,-149.70
,NIFTY TOTAL MKT,     13190.25,     13100.10,     13125.70,     13032.60,     13123.55,-66.70
,NIFTY MICROCAP250,     26284.80,     26187.50,     26206.60,     26006.65,     26130.25,-154.55
,NIFTY IND DIGITAL,      8867.30,      8802.05,      8809.35,      8704.35,      8802.20,-65.10
,Nifty Tata 25 Cap,     14421.40,     14294.20,     14371.85,     14184.30,     14371.85,-49.55
,Nifty MidSml Hlth,     52155.25,     52018.25,     52132.30,     51729.30,     52075.20,-80.05
,Nifty Multi Mfg,     16945.60,     16831.70,     16839.30,     16687.80,     16808.95,-136.65
,Nifty Multi Infra,     14433.60,     14357.85,     14407.85,     14270.50,     14403.40,-30.20
,BHARATBOND-APR30,      1607.32,      1607.64,      1607.96,      1607.64,      1607.96,0.64
,BHARATBOND-APR31,      1457.38,      1457.67,      1457.68,      1457.67,      1457.68,0.30
,BHARATBOND-APR32,      1321.98,      1322.23,      1322.24,      1322.23,      1322.24,0.26
,BHARATBOND-APR33,      1280.75,      1281.00,      1281.01,      1281.00,      1281.01,0.26
,Nifty Ind Defence,      9647.65,      9598.20,      9623.50,      9497.80,      9621.35,-26.30
,Nifty Ind Tourism,      7814.65,      7753.45,      7794.95,      7666.50,      7792.10,-22.55
,Nifty Capital Mkt,      5391.00,      5356.30,      5378.30,      5295.00,      5352.60,-38.40
,Nifty500Momentm50,     55071.60,     54768.50,     54799.60,     54357.70,     54770.10,-301.50
,NiftyMS400 MQ 100,     51997.30,     51768.90,     51771.20,     51228.05,     51514.20,-483.10
,NiftySml250MQ 100,     48904.80,     48692.55,     48710.15,     48301.45,     48485.65,-419.15
,Nifty Top 10 EW,      8661.55,      8594.70,      8623.15,      8559.75,      8609.95,-51.60
,Nifty AQL 30,     22877.05,     22723.05,     22737.85,     22542.45,     22698.20,-178.85
,Nifty AQLV 30,     20124.15,     19998.65,     20010.75,     19888.50,     20010.75,-113.40
,Nifty EV,      3297.65,      3272.65,      3275.70,      3216.85,      3243.25,-54.40
,Nifty HighBeta 50,      4408.00,      4375.10,      4402.25,      4330.20,      4400.15,-7.85
,Nifty New Consump,     12070.90,     11971.40,     12005.80,     11846.90,     12003.40,-67.50
,Nifty Corp MAATR,     38592.55,     38304.30,     38561.45,     38024.10,     38558.90,-33.65
,Nifty Low Vol 50,     24528.00,     24351.90,     24379.60,     24231.25,     24376.55,-151.45
,Nifty Mobility,     23417.35,     23177.00,     23201.50,     22823.25,     23143.85,-273.50
,Nifty Qlty LV 30,     16651.65,     16538.30,     16549.35,     16436.50,     16525.40,-126.25
,Nifty Sml250 Q50,     25421.95,     25319.25,     25328.45,     25069.35,     25196.75,-225.20
,Nifty Top 15 EW,      9768.35,      9686.20,      9705.10,      9646.25,      9696.85,-71.50
,Nifty100 Alpha 30,     17982.20,     17830.20,     17949.55,     17701.95,     17949.55,-32.65
,Nifty100 Enh ESG,      5027.60,      4985.35,      5000.40,      4957.50,      5000.40,-27.20
,Nifty200 Value 30,     14746.50,     14669.55,     14806.35,     14604.15,     14806.35,59.85
,Nifty500 EW,     15000.80,     14932.20,     14934.90,     14812.75,     14925.25,-75.55
,Nifty Multi MQ 50,     41801.60,     41602.00,     41604.25,     41207.80,     41484.85,-316.75
,Nifty500 Value 50,     15892.70,     15815.10,     15948.70,     15742.55,     15946.00,53.30
,Nifty Top 20 EW,      8880.50,      8801.60,      8830.75,      8767.80,      8830.75,-49.75
,Nifty CoreHousing,     15559.70,     15478.40,     15479.45,     15283.20,     15460.45,-99.25
,Nifty FinSerExBnk,     31930.55,     31695.35,     31817.35,     31411.45,     31814.50,-116.05
,Nifty Housing,     11768.00,     11689.40,     11749.75,     11631.30,     11749.75,-18.25
,Nifty IPO,      2381.55,      2377.50,      2385.85,      2362.30,      2383.05,1.50
,Nifty MS Fin Serv,     22551.10,     22436.25,     22466.50,     22222.20,     22466.45,-84.65
,Nifty MS Ind Cons,     18636.80,     18520.75,     18540.40,     18324.40,     18539.55,-97.25
,Nifty MS IT Telcm,     10274.30,     10209.45,     10227.60,     10080.70,     10200.60,-73.70
,Nifty NonCyc Cons,     15158.85,     15040.00,     15093.35,     14959.10,     15093.35,-65.50
,Nifty Rural,     15214.80,     15107.30,     15112.70,     14980.65,     15112.70,-102.10
,Nifty Shariah 25,      8009.45,      7957.05,      7959.00,      7878.85,      7932.85,-76.60
,Nifty Trans Logis,     26136.65,     25873.75,     25902.25,     25434.70,     25783.60,-353.05
