SYMBOL,SERIES,SECURITY,HIGH/LOW
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
980SCL33D,YG,SEC RE NCD 9.71% SR VIII,H
AARADHYA,SM,AARADHYA DISPOSAL INDUS L,H
ABAN,BE,ABAN OFFSHORE LTD.,H
AKANKSHA,SM,AKANKSHA POWER N INFRA L,H
AKI,EQ,AKI INDIA LIMITED,H
AKSHARCHEM,BE,AKSHARCHEM INDIA LIMITED,H
ALPHAGEO,BE,ALPHAGEO (INDIA) LIMITED,H
ANNU,BE,ANNU PROJECTS LIMITED,H
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,H
ANTELOPUS,EQ,ANTELOPUS SELAN ENRGY LTD,H
ARROWGREEN,BE,ARROW GREENTECH LIMITED,H
ATHERENERG,EQ,ATHER ENERGY LIMITED,H
AUGMONT,EQ,AUGMONT ENTERPRISES LTD,H
AUROIMPEX,SM,AURO IMPEX & CHEMICALS L,H
AUSL,SM,ADITYA ULTRA STEEL LTD,H
AUSOMENT,EQ,AUSOM ENTERPRISE LIMITED,H
BALAXI,EQ,BALAXI PHARMA LTD,H
BESTAGRO,EQ,BEST AGROLIFE LIMITED,H
BGRENERGY,BE,BGR ENERGY SYSTEMS LTD,H
BHAGERIA,BE,BHAGERIA INDUSTRIES LTD,H
BIKEWO,ST,BIKEWO GREEN TECH LIMITED,H
BIRLACABLE,BE,BIRLA CABLE LIMITED,H
BLUSPRING,EQ,BLUSPRING ENTERPRISES LTD,H
BSE,EQ,BSE LIMITED,H
BURNPUR,EQ,BURNPUR CEMENT LIMITED,H
CALSOFT,EQ,CALIFORNIA SOFTWARE CO LT,H
CAPTRUST,BE,CAPITAL TRUST LIMITED,H
DAICHI,EQ,DAI-ICHI KARKARIA LTD.,H
DEEDEV,EQ,DEE DEVELOPMENT ENG LTD,H
DGCONTENT,EQ,DIGICONTENT LIMITED,H
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,H
DHARIWAL,SM,DHARIWALCORP LIMITED,H
DPSCLTD,BE,DPSC LIMITED,H
DSKULKARNI,BE,DS KULKARNI DEVELOPERS L,H
DYNAMIC,ST,DYNAMIC SRVCS & SEC LTD,H
EFFWA,ST,EFFWA INFRA & RESEARCH L,H
ESCONET,SM,ESCONET TECHNOLOGIES LTD,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
FILATFASH,EQ,FILATEX FASHIONS LIMITED,H
FLFL,BZ,FUT LIFESTYLE FASH LTD,H
FORGEAUTO,SM,FORGE AUTO INTERNATION L,H
GANESHBE,BE,GANESH BENZOPLAST LIMITED,H
GANGAFORGE,EQ,GANGA FORGING LIMITED,H
GAYAPROJ,EQ,GAYATRI PROJECTS LTD,H
GCHOTELS,ST,GRAND CONTINENT HOTELS L,H
GJL,ST,GROVER JEWELLS LIMITED,H
GML,SM,GALAXY MEDICARE LIMITED,H
GOLDSTAR,SM,GOLDSTAR POWER LIMITED,H
GREENCHEF,SM,GREENCHEF APPLIANCES LTD,H
GSLSU,EQ,GLOBAL SURFACES LIMITED,H
HEROMOTOCO,EQ,HERO MOTOCORP LIMITED,H
HMT,BZ,HMT LTD -,H
HPTL,SM,HP TELECOM INDIA LIMITED,H
HRHNEXT,SM,HRH NEXT SERVICES LIMITED,H
ICDSLTD,EQ,ICDS LTD,H
IMPEXFERRO,BZ,IMPEX FERRO TECH LIMITED,H
INDIAGLYCO,BE,INDIA GLYCOLS LTD,H
KALYANIFRG,EQ,KALYANI FORGE LIMITED,H
KEI,EQ,KEI INDUSTRIES LTD.,H
KORE,SM,JAY JALARAM TECHNO LTD,H
KRONOX,BE,KRONOX LAB SCIENCES LTD,H
KSHITIJ-RE,BE,KSHITIJ POLYLINE LTD,H
KSHITIJPOL,EQ,KSHITIJ POLYLINE LIMITED,H
MADHUCON,BE,MADHUCON PROJECTS LTD.,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MAKS,SM,MAKS ENERGY SOL INDIA LTD,H
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,H
MANAV,SM,MANAV INFRA PROJECTS LTD,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MAZDA,BE,MAZDA LIMITED,H
MBECL,BE,MCNALLY BHARAT ENGIN CO L,H
MEP,BZ,MEP INFRA. DEVELOPERS LTD,H
MILKYMIST,EQ,MILKY MIST DAIRY FOOD L,H
MINALIND,BE,MINAL INDUSTRIES LTD.,H
MOLDTECH,BE,MOLD-TEK TECHNOLOGIES LTD,H
MON100,EQ,MOTILAL OS NASDAQ100 ETF,H
MONOPHARMA,SM,MONO PHARMACARE LIMITED,H
MONQ50,EQ,MOTILALAMC - MONQ50,H
MPDL,BE,MPDL LTD.,H
MPEL,ST,MANAS POLYMER N ENERGIE L,H
MVKAGRO,SM,M.V.K. AGRO FOOD PROD LTD,H
NECCLTD,BE,NORTH EAST CARRY CORP LTD,H
NINSYS,EQ,NINTEC SYSTEMS LIMITED,H
NIRAJISPAT,EQ,NIRAJ ISPAT IND LTD,H
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,H
ONIXSOLAR,EQ,ONIX SOLAR ENERGY LTD.,H
OWAIS,ST,OWAIS METAL & MINERAL,H
PAR,EQ,PAR DRUGS AND CHEM LTD,H
PARAMOUNT,SM,PARAMOUNT DYE TEC LIMITED,H
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,H
PENTAGON,SM,PENTAGON RUBBER LIMITED,H
PLAZACABLE,EQ,PLAZA WIRES LIMITED,H
POLYSIL,SM,POLYSIL IRRIGATION SYST L,H
RADIOWALLA,ST,RADIOWALLA NETWORK LTD,H
RAJESHEXPO,BZ,RAJESH EXPORTS LTD,H
REXPRO,SM,REXPRO ENTERPRISES LTD,H
RHETAN,EQ,RHETAN TMT LIMITED,H
RITEZONE,SM,RITE ZONE CHEMCON IND LTD,H
RNBDENIMS,EQ,R&B DENIMS LIMITED,H
RSWM,BE,RSWM LIMITED,H
SABAR,ST,SABAR FLEX INDIA LIMITED,H
SADBHAV,EQ,SADBHAV ENGINEERING LTD,H
SANGANI,SM,SANGANI HOSPITALS LIMITED,H
SANGINITA,BE,SANGINITA CHEMICALS LTD,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,H
SHRENIK,BZ,SHRENIK LIMITED,H
SHRIAHIMSA,ST,SHRI AHIMSA NATURALS LTD,H
