TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-02,2026-09-02,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15000.00,15000.00,14850.00,14850.00,14850.00,15141.87,,14841.00,,,103,1532731.15,28,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15120.00,15120.00,14850.00,14866.96,14880.00,15160.50,,14866.37,,,274,4093421.71,44,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15000.00,15050.00,14850.00,14860.91,14869.00,15081.00,,14852.61,,,850,12643371.91,125,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15074.00,15074.00,14743.01,14868.88,14850.00,15106.16,,14868.88,,,268,3991313.85,32,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14998.99,14998.99,14822.55,14862.97,14830.01,15088.33,,14862.97,,,208,3092503.12,36,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15025.00,15140.00,14840.00,14891.34,14880.00,15178.20,,14900.38,,,571,8517757.85,128,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15074.00,15074.00,14845.00,14885.57,14855.00,15106.72,,14877.90,,,192,2863500.58,72,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15000.00,15000.00,15000.00,15000.00,15000.00,15621.50,,14825.00,,,2,30000.00,1,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15030.00,15550.00,14652.00,15550.00,15550.00,15600.00,,15300.00,,,13,194851.15,8,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15030.00,15030.00,14710.01,14950.00,14950.00,15025.83,,14975.00,,,27,403442.76,6,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15050.00,15050.00,14605.00,15024.99,15024.99,15050.00,,15032.50,,,5,74729.97,4,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15034.99,15771.99,14801.00,14959.21,15100.00,15043.90,,14962.27,,,238,3554515.18,74,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14915.01,15000.00,14915.01,14915.02,14915.02,15295.00,,14915.02,,,6,89575.07,3,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14950.00,14950.00,14950.00,14950.00,14950.00,15211.00,,14950.00,,,1,14950.00,1,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15705.00,15705.00,14962.00,14962.00,14962.00,15750.00,,14962.00,,,15,226594.00,8,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15009.99,15009.99,14725.01,14849.00,14849.00,15010.01,,14849.00,,,3,44584.00,3,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,14770.00,14770.00,14770.00,14770.00,14770.00,15211.00,,14755.00,,,1,14770.00,1,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,14911.00,15090.00,14909.99,15090.00,15090.00,15108.33,,15090.00,,,14,209460.96,6,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,14861.00,14998.00,14861.00,14890.48,14900.00,15110.78,,14894.04,,,236,3524341.67,46,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15000.80,15000.80,14711.00,14861.71,14869.99,15080.80,,14861.71,,,151,2245374.73,40,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,14943.99,14943.99,14816.00,14843.67,14885.00,15078.25,,14845.24,,,509,7568780.68,71,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,14710.10,14802.11,14710.10,14802.11,14802.11,15600.00,,14802.11,,,4,59024.42,2,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15080.00,15080.00,14801.01,14871.55,14885.00,15072.82,,14872.71,,,850,12667152.86,189,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15069.70,15069.70,14913.01,14946.66,14940.00,15129.78,,14944.59,,,127,1902709.94,58,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15099.00,15099.00,14800.00,14870.41,14870.00,15136.16,,14870.41,,,134,1997045.38,33,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,14850.00,14911.00,14770.00,14846.31,14850.00,15108.00,,14846.31,,,98,1458313.87,13,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15000.00,15000.00,15000.00,15000.00,15000.00,15230.00,,15000.00,,,5,75000.00,1,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,14899.00,14933.00,14890.00,14895.64,14890.00,15105.72,,14890.97,,,361,5379103.94,52,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,14850.00,14970.00,14830.00,14865.81,14870.00,15083.59,,14870.42,,,731,10884168.92,66,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15050.00,15345.00,14950.00,15108.38,15299.00,15380.00,,15098.17,,,103,1552033.23,57,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,14999.00,15150.00,14850.01,14961.64,14960.00,15265.81,,14961.64,,,244,3661787.02,65,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,14900.00,14995.99,14820.00,14891.07,14899.98,15121.80,,14890.72,,,223,3318015.56,34,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,14998.99,14999.00,14801.01,14849.66,14838.00,15150.00,,14841.24,,,136,2027674.28,35,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,14990.00,14990.00,14862.00,14903.17,14885.00,15115.50,,14902.07,,,140,2088971.45,42,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,10232,IN0020220045,SGBJUN30,GB,,,,,2.50%GOLDBONDS2030SR-I,14835.01,15089.99,14835.01,14940.62,14935.00,15148.33,,14940.62,,,187,2798454.32,69,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,11192,IN0020220078,SGBAUG30,GB,,,,,2.50%GOLDBONDS2030SR-II,15321.28,15321.28,14836.57,15021.48,15034.80,15321.28,,15018.86,,,416,6244375.59,157,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,13642,IN0020220110,SGBDE30III,GB,,,,,2.50%GOLDBONDS2030SR-III,15247.69,15247.69,15050.02,15105.81,15108.54,15300.00,,15109.84,,,143,2162881.41,54,F1,1,,,,,
2026-09-02,2026-09-02,CM,NSE,STK,7879,IN0020210236,SGBJAN30IX,GB,,,,,2.50%GOLDBONDS2030SR-IX,15046.00,15046.00,14900.00,14999.98,14999.98,15146.27,,14999.99,,,285,4269900.37,61,F1,1,,,,,
