TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-31,2026-08-31,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15152.02,15320.00,15152.02,15295.69,15251.20,15636.18,,15302.83,,,550,8349066.94,67,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15589.98,15589.98,15140.00,15290.20,15355.00,15630.00,,15290.20,,,120,1836789.67,41,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15300.00,15360.00,15158.00,15286.02,15319.99,15618.04,,15286.10,,,915,13981156.17,124,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15537.70,15537.70,15200.00,15300.00,15300.00,15567.27,,15300.00,,,199,3030364.48,33,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15300.00,15338.99,15200.00,15283.07,15300.00,15639.99,,15283.07,,,181,2759142.27,46,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15775.00,15775.00,15121.00,15362.20,15475.00,15899.84,,15362.01,,,317,4863102.03,80,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15131.00,15424.00,15131.00,15300.00,15300.00,15631.00,,15299.49,,,315,4812520.85,34,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15621.50,15621.50,15621.50,15621.50,15621.50,15621.50,,15621.50,,,1,15621.50,1,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15350.00,15350.00,15350.00,15350.00,15350.00,15640.00,,15350.00,,,27,414450.00,7,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15309.91,15309.91,15309.91,15309.91,15309.91,15586.26,,15309.91,,,3,45929.73,2,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15005.00,15300.00,15005.00,15300.00,15300.00,15599.90,,15300.00,,,14,212316.00,8,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15350.00,15475.00,15111.00,15279.27,15315.00,15550.00,,15294.96,,,49,748570.99,26,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15374.99,15374.99,15374.99,15374.99,15374.99,15973.98,,15447.48,,,1,15374.99,1,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15399.99,15505.00,15300.00,15300.00,15300.00,15505.00,,15300.00,,,16,245299.99,6,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15647.70,15647.70,15152.01,15315.01,15350.00,15700.28,,15315.01,,,137,2097385.03,54,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15125.50,15450.00,15100.00,15328.71,15339.99,15623.18,,15304.08,,,174,2646919.93,52,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15390.00,15390.00,15110.00,15260.17,15295.00,15600.48,,15263.63,,,230,3501364.33,48,F1,1,,,,,
2026-08-31,2026-08-31,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15250.00,15810.00,15250.00,15597.00,15597.00,15410.00,,15597.00,,,31,478562.00,8,F1,1,,,,,
