MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N0,1025VCCL28,VCCL 10.25% 2028,     96500.00,     96500.00,     96500.00,     94000.00,     94000.00,                   286000.00,3, ,3,     98747.19,     90000.00
N,N0,1075WCA28,WCAPL 10.75% 2028,      9500.00,      9500.00,      9627.20,      9452.50,      9627.20,                   381641.50,40, ,9,     10129.00,      8190.00
N,N0,10MWL29,MWL 10% 2029,     99000.00,     99500.00,     99500.00,     99500.00,     99500.00,                    99500.00,1, ,1,    101030.55,     89960.55
N,N0,113ESFB31,ESFB 11.3% 2031 SR 2,    101001.00,    100000.00,    100000.00,    100000.00,    100000.00,                   100000.00,1, ,1,    104833.70,     98599.99
N,N0,1150AFIL29,AFIL 11.50% 2029,      9921.00,      9921.00,      9921.00,      9909.20,      9909.20,                    49593.20,5, ,2,      9950.00,      7875.00
N,N0,125VCCL31,VCCL 12.5% 2031,     97500.00,     96515.00,     97511.00,     96511.00,     97511.00,                   580070.00,6, ,4,     98449.00,     76800.00
N,N0,12AFIL27,AFIL 12% 2027 SR 1,     10100.00,     10031.00,     10031.00,      9980.84,      9980.84,                    30042.84,3, ,2,     10500.00,      8100.00
N,N0,12AFIL28,AFIL 12% 2028,     10038.77,      9974.00,      9974.00,      9974.00,      9974.00,                    29922.00,3, ,2,     10289.00,      9202.00
N,N0,905SCL36,SCL 9.05% 2036,    100743.00,    101000.00,    101000.00,    101000.00,    101000.00,                 15150000.00,150, ,1,    101000.00,    100743.00
N,N0,915APSBC28,APSBC 9.15% 2028 STRPP C,    101895.07,    101000.01,    101000.01,    101000.01,    101000.01,                   202000.02,2, ,1,    104000.00,    100000.00
N,N0,915APSBC31,APSBC 9.15% 2031 STRPP F,    104209.95,    104233.29,    104233.29,    103999.00,    103999.00,                  1041161.16,10, ,4,    105064.50,     99928.24
N,N0,925ISF28,ISF 9.25% 2028,      9788.46,      9788.46,      9788.46,      9605.55,      9605.55,                    48210.66,5, ,2,     10033.00,      7751.00
N,N0,930APMD27,APMD 9.30% 2027 STRPP A,     77000.00,     76615.00,     76615.00,     76615.00,     76615.00,                   153230.00,2, ,1,    102400.00,     74010.00
N,N0,930APMD29,APMD 9.30% 2029 STRPP C,    103053.19,    103990.00,    103990.00,    103990.00,    103990.00,                   103990.00,1, ,1,    105000.00,    100501.00
N,N0,935TSIIC28,TSIIC 9.35% 2028 SR I- B,    103799.00,    103799.97,    103799.97,    103799.97,    103799.97,                   103799.97,1, ,1,    103800.00,    100000.00
N,N0,950ISF27C,ISF 9.50% 2027,      9918.00,      9918.00,      9918.00,      9916.00,      9916.00,                   208258.00,21, ,4,     10499.99,      9321.00
N,N0,9PCPL28A,PCPL 9% 2028,      9604.00,      9731.00,      9731.00,      9713.00,      9713.00,                    29175.00,3, ,2,      9800.00,      9604.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1002.61,      1002.61,      1006.11,      1002.61,      1006.11,                    12069.82,12, ,3,      1099.00,       950.00
N,N1,735NABAR31,7.35% TAX FREE TRI SRIIA,      1115.00,      1120.00,      1138.45,      1110.00,      1110.00,                  1168869.15,1036, ,10,      1164.90,      1067.10
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       311.25,       310.00,       312.90,       310.00,       310.96,                  1713387.34,5527, ,11,       342.10,       300.00
N,N1,888ECL28,ECL 8.88% 2028 SR V,       988.58,       986.07,       986.07,       984.01,       984.01,                   277855.25,282, ,13,      1028.00,       785.00
N,N1,902SCL28,SCL 9.02% SR V,       999.88,      1000.13,      1000.13,       999.00,       999.00,                   499556.50,500, ,2,      1018.68,       822.00
N,N1,925SCL27B,SCL 9.25% SR II,      1001.00,      1001.00,      1001.00,      1001.00,      1001.00,                    10010.00,10, ,2,      1001.00,       920.10
N,N1,948SCL27D,SEC RE NCD 9.48% SR V,       990.50,      1060.00,      1060.00,      1060.00,      1060.00,                     5300.00,5, ,1,      1080.60,       904.00
N,N1,971SCL29T,SCL 9.71% 2029 SR VIII,       995.00,       998.00,       998.00,       998.00,       998.00,                    29940.00,30, ,1,       998.00,       901.20
N,N1,971SCL30,SCL 9.71% SR VIII,      1022.64,      1029.84,      1029.84,      1029.84,      1029.84,                    26775.84,26, ,1,      1029.84,       901.20
N,N1,990SCL28,SCL 9.90% SR IV,      1047.09,      1047.36,      1047.36,      1047.36,      1047.36,                    10473.60,10, ,1,      1070.00,       925.20
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       250.00,       250.00,       250.50,       250.00,       250.50,                    32541.50,130, ,3,       287.50,       242.00
N,N2,1075SCL33A,SEC RE NCD 10.75% SR XI,       988.00,       950.00,       950.00,       890.10,       906.67,                    45333.50,50, ,5,      1020.00,       800.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1112.90,      1111.10,      1115.00,      1110.25,      1115.00,                  1758832.65,1584, ,22,      1165.00,      1072.50
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       311.15,       311.15,       315.00,       310.90,       311.53,                  2270105.08,7301, ,20,       372.00,       303.02
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1080.68,      1082.00,      1082.00,      1081.15,      1081.71,                   378657.50,350, ,4,      1120.70,      1028.60
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1050.26,      1056.90,      1056.90,      1050.27,      1051.10,                  1429429.42,1359, ,17,      1129.00,      1019.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1086.35,      1086.01,      1087.00,      1085.80,      1085.91,                   756059.20,696, ,13,      1130.00,      1026.01
N,N2,925ECL28,ECL 9.25% 2028 SR VI,      1017.00,      1020.00,      1021.80,      1020.00,      1021.78,                   112306.80,110, ,5,      1060.00,       809.00
N,N3,10ISFL26,SEC RE NCD 10% SR 4,      1062.00,      1062.00,      1062.00,      1062.00,      1062.00,                   313290.00,295, ,6,      1085.00,       976.00
N,N3,760PFCL35,7.60% TAX FREE NCD,      1215.00,      1210.01,      1237.00,      1210.01,      1211.11,                  1537697.99,1249, ,7,      1240.00,      1126.21
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       417.66,       419.99,       419.99,       416.48,       416.53,                   583168.10,1400, ,12,       459.19,       402.07
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       250.00,       251.00,       251.00,       251.00,       251.00,                    20833.00,83, ,3,       263.95,       239.89
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1003.00,      1009.90,      1009.90,       981.00,      1003.00,                   617182.50,619, ,12,      1089.99,       961.00
N,N4,734IRFC28,7.34 NCD 19FEB28 TR1 SR2,      1088.00,      1088.00,      1088.00,      1088.00,      1088.00,                   151232.00,139, ,1,      1105.00,      1018.32
N,N4,81ABCL33,ABCL 8.1% SR VI,      1150.00,      1050.01,      1050.01,      1050.01,      1050.01,                    10500.10,10, ,1,      1190.00,       882.00
N,N4,888SCL25E,SEC RE NCD 10.25% SR XII,       948.00,       948.00,       948.00,       939.00,       939.00,                    10383.00,11, ,2,      1130.00,       680.40
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1265.00,      1255.01,      1255.01,      1255.01,      1255.01,                   376503.00,300, ,1,      1348.00,      1210.41
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1009.53,      1011.99,      1011.99,      1011.00,      1011.50,                   679746.70,672, ,15,      1140.00,       984.70
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1015.00,      1017.00,      1017.00,      1015.00,      1015.21,                   117767.00,116, ,3,      1089.99,       920.20
N,N5,880IREDA29,IREDA 8.80NCDTR I SR II B,      1116.00,      1130.00,      1130.00,      1130.00,      1130.00,                    16950.00,15, ,1,      1189.89,      1079.81
N,N5,935LTF29,SE RE NCD 9.35% SR.V OP2,      1100.00,      1102.50,      1102.50,      1100.60,      1100.60,                    99173.70,90, ,3,      1278.90,      1010.01
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,      1003.08,      1001.50,      1003.95,      1000.00,      1002.10,                  2206191.05,2203, ,26,      1007.00,       810.60
N,N5,AEL120924A,SEC RE NCD SR V,      1200.00,      1200.00,      1200.00,      1200.00,      1200.00,                   240000.00,200, ,1,      1296.00,      1081.00
N,N5,CIFCZC28A,SEC RE NCD SR.VI,      1299.01,      1305.00,      1305.00,      1305.00,      1305.00,                    33930.00,26, ,2,      1328.50,      1040.00
N,N6,720PFCL36,PFCL 7.20% 2036 SR II,      1000.58,      1000.58,      1000.58,      1000.58,      1000.58,                    73042.34,73, ,2,      1022.00,       825.00
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1110.36,      1110.39,      1111.55,      1110.00,      1111.11,                   322004.61,290, ,11,      1250.00,      1079.00
N,N6,880IREDA34,IREDA 8.80NCDTR I SR IIIB,      1279.00,      1280.00,      1280.00,      1280.00,      1280.00,                  1280000.00,1000, ,4,      1320.00,      1195.40
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1256.00,      1260.00,      1260.00,      1260.00,      1260.00,                   113400.00,90, ,3,      1520.00,      1181.12
N,N6,893NHB29,NHB 8.93 NCD TR II SR 2 B,      5600.00,      5600.00,      5600.00,      5600.00,      5600.00,                     5600.00,1, ,1,      6005.00,      5405.10
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6354.79,      6351.00,      6500.00,      6351.00,      6387.00,                  7996733.20,1240, ,94,      7390.00,      6030.10
N,N6,956AEL29,SEC RE NCD 9.56% SR VI,      1049.00,      1030.00,      1030.00,      1030.00,      1030.00,                   120510.00,117, ,13,      1145.00,      1010.00
N,N6,IIFLZC28C,UNSEC RE NCD 0% SR.III,      1585.00,      1586.30,      1590.00,      1586.30,      1586.30,                    47626.00,30, ,3,      1770.00,      1332.80
N,N6,SCL01825,SCL 0% 2027 SR III,      1084.00,      1062.34,      1078.00,      1062.34,      1078.00,                   214034.00,200, ,2,      1085.00,       890.00
N,N7,774IREDA31,7.74% TAX FREE NCD,      1130.00,      1127.50,      1127.50,      1121.00,      1124.18,                   292287.50,260, ,4,      1171.00,      1078.45
N,N7,85PFL26A,SEC RED NCD 10.75% SR.VII,      1090.00,      1086.01,      1086.01,      1086.01,      1086.01,                    20634.19,19, ,1,      1190.00,      1070.00
N,N7,99AEL29,SEC RE NCD 9.90% SR VII,      1050.10,      1059.79,      1059.79,      1059.75,      1059.75,                    33912.64,32, ,2,      1169.00,      1015.00
N,N8,764HUDCO31,7.64% TAX FREETRI SR2B,      1118.00,      1117.00,      1117.00,      1117.00,      1117.00,                    39095.00,35, ,1,      1175.00,      1083.00
N,N8,865SCL26,SEC RED NCD 8.65% SR. V,      1001.00,      1000.99,      1001.00,      1000.99,      1001.00,                    11010.97,11, ,2,      1020.00,       875.20
N,N8,865TCAPS27,SERENCD8.65%SR.IIICIII&IV,      1006.12,       980.96,      1010.50,       980.96,      1010.50,                   123052.08,122, ,5,      1150.50,       980.96
N,N8,892PFCL33,8.92% TAX FREE NCD,      1287.90,      1287.90,      1287.90,      1283.10,      1286.87,                   484978.10,377, ,6,      1343.00,      1219.99
N,N9,871REC28,BOND 8.71% TAX FREE S2B,      1124.00,      1127.90,      1127.90,      1119.00,      1123.00,                  1235553.50,1100, ,13,      1179.99,      1075.00
N,N9,895AEL27,AEL 8.95% 2027 SR I,      1009.82,      1012.00,      1012.00,      1010.50,      1010.50,                    50528.00,50, ,2,      1094.00,       935.10
N,NA,76NHAI31,TAX FREE7.60% SR.IIB,      1114.99,      1115.00,      1116.00,      1110.01,      1112.27,                  1371916.55,1230, ,9,      1159.99,      1075.10
N,NA,865IRFC29,BOND 8.65% PA TF TI-SIIB,      1106.85,      1106.85,      1107.05,      1105.00,      1105.85,                  2208210.10,1996, ,12,      1182.95,      1060.00
N,NA,910TCAP28,UNSERENCD9.1%SRIIICIII&IV,      1121.69,      1115.00,      1115.00,      1114.90,      1114.99,                   569735.00,511, ,42,      1157.00,      1032.00
N,NA,9SCL26BA,SEC RED NCD 9.0% SR. VI,      1080.00,      1080.00,      1080.00,      1080.00,      1080.00,                    10800.00,10, ,2,      1082.50,       966.22
N,NB,885AEL28,AEL 8.85% 2028 SR III,      1010.62,      1070.00,      1070.00,      1030.00,      1035.00,                   118755.00,113, ,8,      1130.00,       986.38
N,NB,SCLZC26,SEC RED NCD SR. VII,      2351.00,      2351.00,      2351.00,      2351.00,      2351.00,                    54073.00,23, ,1,      2351.00,      2021.65
N,NB,TCHF30,UN SE RE NCD 8.55% SR.VI,      1094.00,      1090.00,      1090.00,      1090.00,      1090.00,                     2180.00,2, ,1,      1200.00,      1015.00
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,      1020.00,      1010.00,      1011.00,      1010.00,      1011.00,                   303235.00,300, ,11,      1200.00,       851.00
N,NC,863IRFC29,BOND 8.63% PA TF TII-SIIA,      1107.00,      1155.00,      1155.00,      1155.00,      1155.00,                   352275.00,305, ,2,      1250.00,      1075.12
N,NC,885TCAPS29,UNSERENCD8.85%SRIVCIII&IV,      1056.90,      1045.80,      1045.90,      1045.80,      1045.85,                    10458.50,10, ,2,      1190.00,       955.00
N,NC,915AEL28,AEL 9.15% 2028 SR IV,      1024.80,      1019.00,      1019.00,      1019.00,      1019.00,                    10190.00,10, ,1,      1098.99,      1003.91
N,NC,SCL0182025,SCL 0% 2028 SR VI,      1032.50,      1040.20,      1040.20,      1032.50,      1032.50,                     3112.90,3, ,2,      1127.30,       819.20
N,ND,1119NFL27,SEC RE NCD 11.19% SR.V,      1054.80,      1047.50,      1050.00,      1047.50,      1050.00,                    94353.00,90, ,3,      1290.00,       872.82
N,ND,739NHAI31A,TAX FREE 7.39% SR. IIA,      1145.00,      1146.05,      1146.05,      1146.05,      1146.05,                    24067.05,21, ,1,      1298.00,      1026.00
N,ND,762NTPC35F,TFB 7.62% 2035 SR. 3B,      1229.80,      1229.80,      1230.00,      1218.10,      1218.10,                  1310378.00,1066, ,32,      1270.00,      1152.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1132.46,      1132.46,      1134.89,      1131.00,      1131.44,                  1520214.60,1343, ,14,      1178.89,      1072.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1023.69,      1023.99,      1023.99,      1018.00,      1020.99,                    72494.10,71, ,18,      1120.00,       983.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,      1040.00,      1040.00,      1041.00,      1040.00,      1041.00,                   478410.00,460, ,4,      1120.80,       950.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1151.50,      1151.49,      1155.00,      1150.15,      1150.15,                  1170683.26,1014, ,7,      1170.00,      1087.19
N,NE,888IRFC29,BOND 8.88% PA TF TII-SIIB,      1128.50,      1130.00,      1130.00,      1128.50,      1128.50,                   259759.00,230, ,6,      1249.00,      1084.61
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1289.75,      1284.99,      1285.00,      1284.99,      1284.99,                   385497.50,300, ,6,      1345.00,      1217.10
N,NE,915SCL26,UNS RED NCD 9.15% SR.IX,      1073.22,      1074.25,      1081.30,      1073.75,      1081.00,                    80933.20,75, ,6,      1084.45,       925.41
N,NE,9AEL30,AEL 9% 2030 SR VI,      1049.69,      1049.04,      1050.00,      1049.04,      1050.00,                   107068.04,102, ,3,      1110.00,       996.00
N,NE,CAGL28,SEC RE NCD SR VIII,      1355.00,      1365.00,      1365.00,      1365.00,      1365.00,                    80535.00,59, ,2,      1365.00,      1024.00
N,NE,PFCL41A,PFCL 0% 2041 SR V,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    30000.00,30, ,1,      1000.00,       900.00
N,NF,79IGT28,SEC RE NCD 7.90% SR.III,      1020.00,      1020.00,      1020.00,      1020.00,      1020.00,                    76500.00,75, ,2,      1077.99,       872.80
N,NF,888REC29,BOND8.88% PA TF TR II S2B,      1140.00,      1140.00,      1140.00,      1140.00,      1140.00,                    57000.00,50, ,3,      1210.00,      1083.00
