MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       113.68,       113.68,       114.75,       113.51,       113.51,                     5037.47,44,14,       118.00,       108.33,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSL10BANK,BIRLASLAMC - ABSL10BANK,       168.36,       168.00,       168.02,       167.74,       167.74,                     5710.68,34,3,       214.42,       150.00,BSE TOP 10 BANKS INDEX
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        58.88,        59.30,        59.30,        58.28,        58.64,                 53662493.52,916157,329,        64.94,        50.97,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.00,      1000.01,      1000.01,       999.99,       999.99,                  1032998.83,1033,41,      1044.99,       999.56,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,        29.51,        29.51,        29.51,        29.14,        29.37,                    16226.66,553,14,        35.34,        26.34,MSCI INDIA INDEX
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        76.79,        78.33,        78.33,        75.75,        77.04,                  1506067.79,19744,265,        80.33,        63.02,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,        10.05,        10.17,        10.17,         9.97,        10.07,                  1880840.20,186780,1468,        11.60,         9.21,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        54.43,        54.42,        54.42,        53.53,        53.94,                 85409724.13,1586344,4161,        55.59,        42.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        26.53,        25.86,        27.19,        25.86,        26.45,                 20910551.14,794013,1067,        27.61,        21.80,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.77,        27.77,        27.77,        27.54,        27.62,                 30967298.97,1120581,948,        29.17,        24.35,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        14.18,        14.16,        14.16,        13.90,        13.98,                  5884466.29,420827,1616,        17.73,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1075.03,      1075.17,      1075.18,      1075.16,      1075.16,                 26833878.64,24958,116,      1094.59,       997.56,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,         9.89,         9.96,         9.96,         9.69,         9.85,                  3023543.08,306263,1302,        12.00,         9.00,NIFTY 50 INDEX
N,EQ,AONESILVER,AONEAMC - AONESILVER,         8.71,         8.71,         8.76,         8.54,         8.64,                  3291972.37,380983,1406,        12.00,         7.43,DOMESTIC PRICE OF SILVER
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,        10.33,        10.33,        10.50,        10.18,        10.31,                   340226.17,33121,240,        10.87,         8.00,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        11.90,        12.10,        12.35,        11.80,        11.83,                  3538869.84,299224,1285,        12.51,         9.60,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       292.63,       292.63,       293.33,       285.50,       288.88,                130765621.78,454387,7207,       310.45,       242.50,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        29.46,        30.19,        30.19,        28.61,        28.96,                 45484455.87,1576618,4864,        31.46,        24.20,NIFTY AUTO INDEX
N,EQ,BANK10ADD,DSPAMC - BANK10ADD,        16.89,        16.89,        16.89,        16.75,        16.78,                 61369685.18,3657235,173,        18.99,        12.08,BSE TOP 10 BANKS INDEX (TRI)
N,EQ,BANK10BETF,BFAM - BANK10BETF,        20.74,        20.61,        20.75,        20.61,        20.61,                    30820.84,1489,9,        24.90,        20.17,INDEX
N,EQ,BANKADD,DSPAMC - DSPBANK,        58.77,        58.63,        58.69,        58.37,        58.56,                   573910.13,9796,70,        62.90,        51.01,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       593.79,       593.48,       593.69,       590.16,       592.76,                619026333.91,1045041,10080,       638.99,       515.98,NIFTY BANK
