GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,COAL INDIA LTD,       417.85,       401.60,4.05
G,ADANI PORT & SEZ LTD,      1672.70,      1647.50,1.53
G,ADANI ENTERPRISES LIMITED,      2891.80,      2863.90,0.97
G,BAJAJ FINSERV LTD.,      1990.00,      1972.00,0.91
G,TATA MOTORS PASS VEH LTD,       312.75,       310.00,0.89
G,POWER GRID CORP. LTD.,       266.80,       264.55,0.85
G,TITAN COMPANY LIMITED,      5074.00,      5050.00,0.48
G,JIO FIN SERVICES LTD,       236.90,       235.85,0.45
G,OIL AND NATURAL GAS CORP.,       237.50,       236.45,0.44
G,RELIANCE INDUSTRIES LTD,      1313.10,      1309.00,0.31
G,BAJAJ FINANCE LIMITED,      1055.90,      1053.90,0.19
G,SUN PHARMACEUTICAL IND L,      1931.70,      1929.00,0.14
G,LARSEN & TOUBRO LTD.,      3981.00,      3980.10,0.02
 , , , , 
L,EICHER MOTORS LTD,      7711.50,      7970.00,-3.24
L,WIPRO LTD,       177.09,       181.70,-2.54
L,MAHINDRA & MAHINDRA LTD,      3190.00,      3259.00,-2.12
L,BAJAJ AUTO LIMITED,     12130.00,     12361.00,-1.87
L,ASIAN PAINTS LIMITED,      2527.50,      2575.50,-1.86
L,TATA CONSUMER PRODUCT LTD,      1012.00,      1030.50,-1.80
L,HDFC BANK LTD,       700.80,       711.90,-1.56
L,HCL TECHNOLOGIES LTD,      1331.50,      1351.40,-1.47
L,INFOSYS LIMITED,      1140.00,      1156.00,-1.38
L,HDFC LIFE INS CO LTD,       533.00,       540.30,-1.35
L,BHARAT ELECTRONICS LTD,       405.75,       411.20,-1.33
L,STATE BANK OF INDIA,      1020.90,      1034.50,-1.31
L,DR. REDDY S LABORATORIES,      1156.50,      1171.00,-1.24
L,SHRIRAM FINANCE LIMITED,      1047.00,      1059.10,-1.14
L,SBI LIFE INSURANCE CO LTD,      1719.90,      1739.30,-1.12
L,HINDUSTAN UNILEVER LTD.,      1975.00,      1994.80,-0.99
L,NESTLE INDIA LIMITED,      1425.00,      1438.20,-0.92
L,TECH MAHINDRA LIMITED,      1623.00,      1638.00,-0.92
L,MAX HEALTHCARE INS LTD,       994.00,      1003.00,-0.90
L,TATA CONSULTANCY SERV LT,      2348.00,      2369.00,-0.89
L,ICICI BANK LTD.,      1426.50,      1438.00,-0.80
L,MARUTI SUZUKI INDIA LTD.,     12849.00,     12950.00,-0.78
L,BHARTI AIRTEL LIMITED,      1862.80,      1877.20,-0.77
L,CIPLA LTD,      1412.80,      1423.00,-0.72
L,INTERGLOBE AVIATION LTD,      5020.00,      5052.00,-0.63
L,JSW STEEL LIMITED,      1306.00,      1313.50,-0.57
L,HINDALCO  INDUSTRIES  LTD,      1009.70,      1014.40,-0.46
L,APOLLO HOSPITALS ENTER. L,      8719.00,      8755.00,-0.41
L,KOTAK MAHINDRA BANK LTD,       423.50,       425.00,-0.35
L,AXIS BANK LIMITED,      1253.90,      1258.00,-0.33
L,GRASIM INDUSTRIES LTD,      3294.90,      3305.00,-0.31
L,ETERNAL LIMITED,       327.30,       327.75,-0.14
L,TATA STEEL LIMITED,       183.85,       184.07,-0.12
L,ITC LTD,       266.30,       266.60,-0.11
L,TRENT LTD,      2852.30,      2855.00,-0.09
L,ULTRATECH CEMENT LIMITED,     11393.00,     11400.00,-0.06
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,TATA POWER CO LTD,       364.00,       350.55,3.84
G,SOLAR INDUSTRIES (I) LTD,     20600.00,     20060.00,2.69
G,ADANI GREEN ENERGY LTD,      1296.00,      1265.00,2.45
G,VARUN BEVERAGES LIMITED,       415.00,       405.85,2.25
G,ADANI POWER LTD,       207.70,       204.36,1.63
G,PUNJAB NATIONAL BANK,       117.00,       115.22,1.54
G,BANK OF BARODA,       241.20,       237.70,1.47
G,THE INDIAN HOTELS CO. LTD,       727.70,       718.00,1.35
G,LODHA DEVELOPERS LIMITED,      1208.30,      1193.90,1.21
G,MUTHOOT FINANCE LIMITED,      2937.70,      2905.00,1.13
G,UNION BANK OF INDIA,       186.86,       184.90,1.06
G,ADANI ENERGY SOLUTION LTD,      1396.60,      1382.00,1.06
G,TORRENT PHARMACEUTICALS L,      5012.00,      4965.50,0.94
G,SHREE CEMENT LIMITED,     23680.00,     23490.00,0.81
G,REC LIMITED,       316.45,       314.05,0.76
G,ABB INDIA LIMITED,      7447.50,      7396.00,0.70
G,CHOLAMANDALAM IN & FIN CO,      1825.90,      1814.70,0.62
G,BHARAT PETROLEUM CORP  LT,       319.60,       317.65,0.61
