SECURITY,NEW,PREVIOUS,NEW_STATUS
3B BLACKBIO DX LTD.           ,1588.90,1546.80,H
ALUFLUORIDE LTD.              ,509.90,504.00,H
ANNU PROJECTS LIMITED         ,75.60,99.00,H
ANTHEM BIOSCIENCES LTD        ,952.80,942.60,H
APSIS AEROCOM LIMITED         ,587.60,576.10,H
AXISAMC - ENERGYAXIS          ,19.27,19.06,H
BLISS GVS PHARMA LTD          ,659.00,635.00,H
BLUE WATER LOGISTICS LTD      ,502.95,498.75,H
COMMERCIAL SYN BAGS LTD       ,314.85,309.90,H
CORDS CABLE INDUS LTD.        ,329.30,316.00,H
CURIS LIFESCIENCES LTD        ,150.35,147.90,H
DAI-ICHI KARKARIA LTD.        ,355.95,350.00,H
E TO E TRANS INFRA LTD        ,353.00,347.10,H
EDELAMC - EBBETF0433          ,1350.32,1345.89,H
EDELAMC - ELIQUID             ,1051.22,1046.00,H
FORCAS STUDIO LIMITED         ,243.95,235.85,H
FRESHARA AGRO EXPORTS LTD     ,474.00,464.00,H
GHCL TEXTILES LIMITED         ,144.59,144.00,H
GRETEX CORPORATE SERVICES     ,575.65,564.50,H
GUJARAT KIDNEY N SUP SP L     ,171.90,169.00,H
GYFTR LIMITED                 ,189.17,188.00,H
HALDYN GLASS LTD.             ,145.00,143.00,H
HOAC FOODS INDIA LIMITED      ,950.00,914.00,H
HY-TECH ENGINEERS LIMITED     ,81.40,78.75,H
INNOMET ADVANCED MATERI L     ,271.55,266.25,H
KALYANI FORGE LIMITED         ,1192.25,1097.15,H
KSHITIJ POLYLINE LTD          ,0.06,0.05,H
LENSKART SOLUTIONS LTD        ,678.40,674.90,H
MANAKSIA STEELS LTD           ,109.30,107.00,H
MANGALAM CEMENT LTD           ,1114.40,1114.00,H
MARINE ELECTRICAL (I) LTD     ,436.00,435.00,H
MILKY MIST DAIRY FOOD L       ,255.23,233.80,H
MINAL INDUSTRIES LTD.         ,4.86,4.63,H
MODISON LIMITED               ,546.00,499.45,H
MONOLITHISCH INDIA LTD        ,1278.00,1240.00,H
NIPPONAMC - LIQGRWBEES        ,1056.73,1056.29,H
NIPPONAMC - NETFPHARMA        ,28.36,28.32,H
PARNAX LAB LTD.               ,144.90,143.90,H
PARTH ELEC & ENG LTD          ,545.00,536.95,H
PATIL AUTOMATION LIMITED      ,284.50,268.90,H
PETRO CARBON AND CHEMI L      ,420.00,417.00,H
PRIZOR VIZTECH LIMITED        ,1153.85,1131.25,H
PTC INDUSTRIES LIMITED        ,22980.00,22945.00,H
Q-LINE BIOTECH LIMITED        ,623.00,622.00,H
RATNAVEER PRECISION LTD       ,17.50,27.35,H
RELIGARAMC - IVZBANKNF        ,58.45,57.72,H
RISHABH INSTRUMENTS LTD       ,753.00,729.85,H
S.A.L. STEEL LTD.             ,86.25,82.73,H
SAI LIFE SCIENCES LIMITED     ,1595.00,1560.00,H
SAKAR HEALTHCARE LIMITED      ,1024.00,999.00,H
SEAMEC LIMITED                ,1749.00,1719.90,H
SHALIBHADRA FINANCE LTD       ,89.50,86.89,H
SHIV AUM STEELS LIMITED       ,483.90,474.05,H
SHREEJI GLOBAL FMCG LTD       ,190.00,189.50,H
SHRIRAM - LIQUIDSHRI          ,1119.85,1119.72,H
SHUKRA PHARMACEUTICALS L      ,47.24,46.99,H
SILKFLEX POLYMERS INDIA L     ,261.55,255.20,H
SKF IND (INDUSTRIAL) LTD      ,3082.90,3074.30,H
SRI KPR INDUSTRIES LTD.       ,30.42,25.35,H
STANDARD ENGNG TCNLGY LTD     ,389.95,387.95,H
SUDEEP PHARMA LIMITED         ,1292.40,1263.00,H
SUMAX ENGINEERING LIMITED     ,116.00,101.00,H
SUNSHINE PICTURES LIMITED     ,473.80,467.95,H
SUPER TANNERY LTD.            ,16.21,15.44,H
TANKUP ENGINEERS LIMITED      ,1576.85,1501.80,H
TAURIAN MPS LIMITED           ,545.25,544.80,H
TRIB BHIMJI ZAVERI LTD        ,430.00,366.80,H
UNITED HEAT TRANSFER LTD      ,152.30,149.35,H
VISION INFRA EQUIP SOL L      ,379.95,375.90,H
WELSPUN CORP LIMITED          ,2592.00,2575.00,H
WELSPUN ENTERPRISES LTD.      ,745.00,712.50,H
XTRANET TECHNOLOGIES LTD      ,207.41,206.39,H
ZERODHAAMC - LIQUIDCASE       ,115.75,115.74,H
ABH HEALTHCARE LIMITED        ,89.35,94.05,L
ADITYA BIRLA FASHION & RT     ,50.20,50.60,L
ADITYA BIRLA LIFES BRAN L     ,82.61,84.00,L
ADVIK CAPITAL LTD.            ,1.11,1.12,L
ALPINE TEXWORLD LIMITED       ,50.46,51.50,L
ANNU PROJECTS LIMITED         ,70.00,99.00,L
APOORVA LEAS F & INV C L      ,25.25,25.31,L
ARSHIYA LIMITED               ,0.71,0.74,L
AXISAMC - ENERGYAXIS          ,18.81,19.06,L
BEHARI LAL ENGINEERING L      ,431.10,431.20,L
BIOPOL CHEMICALS LIMITED      ,41.55,46.15,L
BLUE CLOUD SOFTECH SOLU L     ,19.61,19.80,L
BN AGROCHEM LTD.              ,218.00,219.05,L
BRAINBEES SOLUTIONS LTD       ,168.15,176.40,L
CAPTAIN POLYPLAST LIMITED     ,61.52,63.01,L
CEINSYS TECH LIMITED          ,694.95,697.15,L
CRIZAC LIMITED                ,161.66,162.11,L
CSM TECHNOLOGIES LIMITED      ,93.12,93.21,L
DEEP POLYMERS LTD.            ,34.20,34.50,L
DEEPAK BUILDERS & ENG I L     ,6.01,6.16,L
DELPHI WORLD MONEY LTD        ,6.09,6.12,L
DSPAMC - DSPGOLD              ,14.46,14.70,L
DSPAMC - DSPSILVETF           ,21.64,21.88,L
DSPAMC - FMCGADD              ,46.18,46.48,L
EDELAMC - EBANK10             ,16.57,16.60,L
EDELAMC - ELMDIV              ,35.83,36.13,L
ELITECON INTERNATIONAL L      ,9.61,10.11,L
FASCINATE TEXTILES LTD        ,80.35,84.55,L
