Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
02 SEP 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,02 SEP 2026,               5.00,          35286502,            211.35,     7458155062.70 
02 SEP 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,02 SEP 2026,              10.00,          10500000,             38.85,      407925000.00
02 SEP 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,02 SEP 2026,               1.00,         406486596,           1181.30,   480182615854.80    
02 SEP 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,02 SEP 2026,              10.00,           8582670,           1478.60,    12690335862.00
02 SEP 2026,3IINFOLTD,BE,3I INFOTECH LIMITED      ,Listed    ,02 SEP 2026,              10.00,         207403767,             22.45,     4652066493.80 
02 SEP 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,02 SEP 2026,              10.00,          11265070,          32895.00,   370564477650.00   
02 SEP 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,02 SEP 2026,               2.00,          18000000,             32.75,      589500000.00    
02 SEP 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,02 SEP 2026,              10.00,          46882257,            336.55,    15778223593.35    
02 SEP 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,02 SEP 2026,               2.00,          46078537,            805.10,    37097830138.70   
02 SEP 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,02 SEP 2026,              10.00,         177522358,             16.40,     2911366671.20  
02 SEP 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,02 SEP 2026,              10.00,          12826800,             93.05,     1193790276.00   
02 SEP 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,02 SEP 2026,              10.00,         437298899,            475.40,   207891896584.60 
02 SEP 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,02 SEP 2026,              10.00,          14172816,             62.00,      878714592.00    
02 SEP 2026,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,02 SEP 2026,               1.00,         101250000,              8.65,      877837500.00    
02 SEP 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,02 SEP 2026,              10.00,          14138000,            102.95,     1455507100.00  
02 SEP 2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,02 SEP 2026,              10.00,          28354303,             91.70,     2600656671.15
02 SEP 2026,AARNAV,BE,AARNAV FASHIONS LIMITED  ,Listed    ,02 SEP 2026,              10.00,          42238628,             32.10,     1355859958.80    
02 SEP 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,02 SEP 2026,              10.00,          20946478,            125.95,     2638208904.10     
02 SEP 2026,AARTECH,BE,AARTECH SOLONICS LIMITED ,Listed    ,02 SEP 2026,               5.00,          31770375,             49.80,     1582482378.75   
02 SEP 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,02 SEP 2026,              10.00,          91270000,            417.80,    38132606000.00
