MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     24055.80,     23858.00,     23914.45,     23786.80,     23914.45,1151845162925.21,4957915277,Y, ,38764448,     26373.20,     22182.55
Y,NIFTY50 EQL Wgt,     32834.80,     32594.15,     32664.15,     32440.85,     32664.15,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 EQL Wgt,     34720.35,     34463.30,     34637.60,     34252.75,     34637.60,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 LowVol30,     20153.35,     19985.80,     20033.80,     19911.45,     20033.80,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY Alpha 50,     56678.40,     56373.65,     56489.75,     55945.00,     56455.85,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY MIDCAP 150,     23252.70,     23139.05,     23140.00,     22935.35,     23114.75,0.00,0,Y, ,0,     23647.50,     19218.00
Y,NIFTY SMLCAP 50,      9909.05,      9865.20,      9874.10,      9794.80,      9865.80,0.00,0,Y, ,0,     10050.90,      7338.35
Y,NIFTY SMLCAP 250,     18363.10,     18288.50,     18293.30,     18153.60,     18256.30,0.00,0,Y, ,0,     18526.95,     14143.45
Y,NIFTY MIDSML 400,     21481.95,     21383.05,     21383.45,     21205.50,     21355.35,0.00,0,Y, ,0,     21770.30,     17390.85
Y,NIFTY200 QUALTY30,     20544.20,     20397.30,     20405.65,     20213.80,     20401.10,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty FinSrv25 50,     28159.30,     27906.25,     27973.45,     27779.75,     27956.55,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY AlphaLowVol,     26939.50,     26760.50,     26821.10,     26606.70,     26821.10,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200Momentm30,     30756.10,     30559.55,     30711.40,     30313.30,     30711.40,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100ESGSecLdr,      4021.70,      3986.90,      4003.15,      3970.35,      4003.15,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 ESG,      4994.55,      4952.60,      4967.55,      4924.90,      4967.55,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY M150 QLTY50,     24514.15,     24383.75,     24388.80,     24102.65,     24238.20,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY INDIA MFG,     16402.50,     16277.75,     16287.30,     16128.25,     16269.35,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200 Alpha 30,     26633.55,     26476.55,     26615.45,     26240.05,     26615.45,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftyM150Momntm50,     63949.90,     63666.95,     63690.90,     63148.15,     63680.10,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty50 USD,      8778.80,      8778.75,      8778.75,      8671.30,      8726.05,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty IT,     31496.70,     31164.30,     31241.15,     30668.10,     31102.90,0.00,0,Y, ,0,     40301.40,     25699.10
Y,Nifty Next 50,     72874.75,     72319.00,     72947.45,     71821.60,     72947.45,0.00,0,Y, ,0,     75000.40,     59896.10
Y,Nifty Bank,     57409.60,     57006.45,     57221.10,     56823.20,     57172.00,0.00,0,Y, ,0,     61764.85,     49954.85
Y,NIFTY MIDCAP 100,     63334.50,     62988.85,     63007.25,     62445.15,     63001.60,0.00,0,Y, ,0,     64450.90,     52032.85
Y,Nifty 500,     23339.90,     23176.95,     23226.20,     23058.30,     23222.80,0.00,0,Y, ,0,     24144.20,     20385.65
Y,Nifty 100,     25157.40,     24953.35,     25041.65,     24861.15,     25041.65,0.00,0,Y, ,0,     26975.15,     22720.45
Y,Nifty Midcap 50,     18248.80,     18136.70,     18138.30,     17966.55,     18120.20,0.00,0,Y, ,0,     18500.95,     14804.55
Y,Nifty Realty,       891.30,       883.75,       894.25,       868.20,       893.15,0.00,0,Y, ,0,       974.50,       638.65
Y,Nifty Infra,      9209.25,      9150.90,      9212.35,      9113.65,      9212.05,0.00,0,Y, ,0,      9792.60,      8426.65
Y,Nifty Energy,     37806.10,     37706.20,     38034.95,     37504.70,     38028.40,0.00,0,Y, ,0,     41828.55,     32890.30
Y,Nifty FMCG,     46457.15,     46186.90,     46294.10,     45880.65,     46240.55,0.00,0,Y, ,0,     57445.20,     45334.15
Y,Nifty MNC,     32513.70,     32291.85,     32301.75,     31945.50,     32246.60,0.00,0,Y, ,0,     34028.00,     27597.20
Y,Nifty Pharma,     26792.65,     26668.50,     26818.50,     26611.75,     26780.70,0.00,0,Y, ,0,     27188.45,     21149.90
Y,Nifty PSE,      9659.50,      9616.85,      9696.15,      9564.35,      9695.95,0.00,0,Y, ,0,     10839.05,      9342.00
Y,Nifty PSU Bank,      8505.75,      8457.20,      8558.85,      8419.30,      8511.70,0.00,0,Y, ,0,      9918.65,      6799.85
Y,Nifty Serv Sector,     30756.60,     30482.15,     30528.40,     30391.05,     30525.25,0.00,0,Y, ,0,     34549.75,     28232.65
Y,Nifty Auto,     28491.05,     28183.20,     28225.55,     27541.65,     27981.95,0.00,0,Y, ,0,     29865.50,     23560.10
Y,Nifty Metal,     13189.85,     13105.30,     13160.15,     13030.00,     13157.35,0.00,0,Y, ,0,     13931.35,      9572.10
Y,Nifty Media,      1561.45,      1554.10,      1556.20,      1530.00,      1534.10,0.00,0,Y, ,0,      1643.80,      1245.05
Y,NIFTY SMLCAP 100,     19886.25,     19803.40,     19833.20,     19662.15,     19812.25,0.00,0,Y, ,0,     20143.55,     14986.00
Y,Nifty 200,     13979.40,     13873.55,     13913.25,     13808.95,     13913.25,0.00,0,Y, ,0,     14700.95,     12396.10
Y,Nifty Div Opps 50,      5859.25,      5816.55,      5830.65,      5768.60,      5830.50,0.00,0,Y, ,0,      6584.65,      5614.00
Y,Nifty Commodities,      9704.20,      9647.00,      9756.90,      9601.80,      9756.90,0.00,0,Y, ,0,     10569.65,      8724.95
Y,Nifty Consumption,     11782.30,     11679.30,     11703.60,     11584.85,     11703.60,0.00,0,Y, ,0,     12716.20,     10298.50
Y,Nifty Fin Service,     26003.90,     25777.20,     25842.40,     25670.85,     25813.05,0.00,0,Y, ,0,     28562.50,     23373.95
Y,Nifty50 Div Point,       189.56,       193.19,       193.19,       193.19,       193.19,0.00,0,Y, ,0,         0.00,         0.00
