MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        63.50,        62.05,        63.50,        61.95,        62.00,                   698480.00,11200, ,        96.00,        46.00
N,SM,AARADHYA,AARADHYA DISPOSAL INDUS L,        93.60,        95.50,       102.95,        94.00,       102.95,                  3867720.00,38400, ,       182.00,        64.20
N,ST,ABH,ABH HEALTHCARE LIMITED,        94.05,        89.35,        89.35,        89.35,        89.35,                   107220.00,1200, ,        99.00,        89.35
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        23.80,        23.90,        23.90,        23.90,        23.90,                    38240.00,1600, ,        48.80,        23.00
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        19.80,        19.80,        20.70,        19.80,        20.25,                   121500.00,6000, ,        47.50,        17.15
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       288.50,       283.50,       294.15,       277.10,       289.60,                 15646500.00,54500, ,       315.50,       143.05
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       605.90,       606.95,       607.00,       597.35,       602.10,                 16222725.00,27000, ,       621.00,       238.00
N,ST,ACCPL,ACCRETION PHARMA LIMITED,       207.00,       203.00,       205.00,       203.00,       205.00,                   489600.00,2400, ,       214.70,        53.80
N,SM,ACETEC,ACETECH E-COMMERCE LTD,       139.00,       135.00,       139.00,       135.00,       139.00,                   328800.00,2400, ,       164.00,       111.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       172.50,       172.50,       172.50,       172.50,       172.50,                   103500.00,600, ,       190.00,       170.00
N,SM,ADDICTIVE,ADDICTIVE LEARNING TECH L,        45.50,        45.25,        45.25,        43.65,        44.00,                   536525.00,12000, ,       152.05,        37.15
N,SM,ADISOFT,ADISOFT TECHNOLOGIES LTD,       188.80,       185.05,       204.65,       184.55,       196.70,                 13251240.00,68000, ,       280.00,       170.00
N,SM,AUSL,ADITYA ULTRA STEEL LTD,        23.50,        24.50,        24.65,        24.50,        24.65,                   147600.00,6000, ,        40.65,        17.35
N,SM,AERON,AERON COMPOSITE LIMITED,        74.15,        74.15,        76.50,        71.55,        75.25,                  1483150.00,20000, ,       124.00,        70.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        69.00,        68.95,        69.00,        68.00,        69.00,                  1237300.00,18000, ,       155.60,        59.60
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        30.35,        29.00,        30.00,        28.85,        30.00,                   477975.00,16500, ,        71.25,        21.85
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       133.80,       133.00,       133.00,       130.00,       131.00,                  2690220.00,20400, ,       174.05,        81.00
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,      1602.35,      1611.00,      1619.95,      1562.25,      1583.45,                 42163750.00,26600, ,      1780.00,       665.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,       118.35,       118.85,       124.25,       118.85,       124.00,                  2102100.00,17000, ,       139.50,        57.00
