SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
IFCI LTD,        87.26,        98.32,428062214,              41039071131.68
HDFC BANK LTD,       711.90,       700.80,36950338,              25947121981.35
BSE LIMITED,      3242.00,      3168.00,6510791,              20703811346.10
RELIANCE INDUSTRIES LTD,      1309.00,      1313.10,13497841,              17668058961.20
COAL INDIA LTD,       401.60,       417.85,34130970,              14237413551.85
STATE BANK OF INDIA,      1034.50,      1020.90,13843678,              14155674464.20
MILKY MIST DAIRY FOOD L,       232.03,       252.04,56560370,              13995110489.61
KALYAN JEWELLERS IND LTD,       573.00,       590.00,21212135,              12283333654.45
ICICI BANK LTD.,      1438.00,      1426.50,8515824,              12146450397.70
TRIB BHIMJI ZAVERI LTD,       366.80,       418.25,27976693,              11277729164.40
ANTELOPUS SELAN ENRGY LTD,       792.65,       951.15,12446135,              11223349715.75
ATHER ENERGY LIMITED,      1725.60,      1686.10,6312532,              10735584017.70
INFOSYS LIMITED,      1156.00,      1140.00,8564358,               9720500603.10
HERO MOTOCORP LIMITED,      5555.00,      5300.00,1746768,               9194406579.00
MAHINDRA & MAHINDRA LTD,      3259.00,      3190.00,2883166,               9162469677.90
TEMPSENS INST (INDIA) LTD,       539.05,       566.30,15878807,               9025753711.00
SYMBIOTEC PHARMALAB LTD,      1097.70,      1092.80,7998317,               8961901059.20
EICHER MOTORS LTD,      7970.00,      7711.50,1117588,               8521558103.00
AXIS BANK LIMITED,      1258.00,      1253.90,6437250,               8090023721.30
MULTI COMMODITY EXCHANGE,      3303.00,      3286.00,2448588,               8065507913.20
MARUTI SUZUKI INDIA LTD.,     12950.00,     12849.00,614156,               7817012629.00
BHARTI AIRTEL LIMITED,      1877.20,      1862.80,4125938,               7696355020.70
VODAFONE IDEA LIMITED,        14.06,        14.53,527024719,               7596762787.77
DHOOT TRANSMISSION LTD,      1450.10,      1522.10,4833587,               7379713652.80
HIMADRI SPECIALITY CHEM L,       680.85,       659.60,10982851,               7357376504.30
